VISA	TITRE	RÉALISATEUR	GENRE	DEVIS
151332	Alam	KHOURY Firas	fiction	594,955									
150255	Amore Mio	GOUIX Guillaume	fiction	927,427									
155131	Astrakan	DEPESSEVILLE David	fiction	678,629									
154686	Avant l'Effondrement	ZENITER Alice / ZENITER Benoît	fiction	2,401,800									
154862	Barrage (Le)	CHERRI Ali	fiction	464,840									
146628	Bruxa (ex : Alma viva)	ALVES MEIRA Cristele	fiction	1,778,375									
154977	Bulle verte (La)	TASSEL Coco	docu	231,010									
152946	Cabines, la France et moi (Les)	DEVIGNE Floriane	docu	585,286									
153632	Chevalier noir	ALEEBRAHIM DEHKORDI Emad	fiction	552,877									
153438	Chien de la casse	DURAND Jean-Baptiste	fiction	1,555,625									
154385	Chœur de rockeurs	TECHER Ida / BRICAULT Luc	fiction	6,898,076									
149686	Clés de Jade (Les)	ASLAN Jeanne / SAINTILLAN Paul	fiction	777,048									
154701	Conte nuptial	BONNEFOY Claire	fiction	270,088									
150244	Dans un monde idéal	FRECHE Emilie	fiction	2,454,378									
153895	Déhanché d'Elvis (Le)	ESCAFFRE Lauriane / MULLER Yvonnick	fiction	4,058,150									
152105	Devant - contrechamp de la rétention	REDOLFI Annick	docu	245,957									
137694	Disco Boy	ABBRUZZESE Giacomo	fiction	3,557,772									
154651	En roue libre	BARCELO Didier	fiction	3,101,480									
149068	Etat sauvage (L')	BAUDUIN Audrey	docu	610,805									
155694	Faux départ	GUIBERT Gallien	fiction	1,127,516									
153952	Feathers of a Father	EL ZOHAIRY Omar	fiction	719,485									
154830	Fils de Caïn (Les)	STAMO Keti	docu	272,406									
155431	Gagnants (Les)	BENDJILALI Azedine / JUNCA Laurent	fiction	4,616,490									
154153	Générale (La)	VARELA Valentine	docu	300,745									
149597	Grand marin (Le)	DRUKAROVA Dinara	fiction	3,206,787									
152383	I love Greece	GUERRY KARAMAOUNAS Nafsika	fiction	1,090,940									
155671	Il neige à Sidi Bou Saïd	CHeRIF Fatma	docu	205,267									
147963	Il n'y aura plus de nuit	WEBER Eleonore	docu	202,111									
141318	Ils désertent	VIGON Florence	fiction	2,127,733									
152756	Jacky	DELANGLE Lucas	fiction	1,201,584									
155867	Jane B	GAINSBOURG Charlotte	docu	441,827									
155654	Kaleb	TORANIAN Vasken	docu	249,641									
153631	Last dance	ABERT Coline	docu	597,344									
142894	Lendarys	CUVELIER Jean-Baptiste / DUCHENE Philippe	animation	10,751,257									
148134	Marchand de sable (Le)	ACHIEPO Steve	fiction	1,972,060									
148830	Mars express	PERIN Jérémie	animation	6,647,600									
153651	Mastemah	DEROIN Didier	fiction	2,046,039									
152442	Médium (Le)	LASKAR Emmanuel	fiction	3,754,371									
152607	Mes vies	TREINER Olivier	fiction	7,243,802									
152466	Mon héroïne	LEFORT Noemie	fiction	4,163,447									
152970	Page blanche (La)	MAGELLAN Murielle	fiction	2,731,663									
154847	Passagère (La)	PELLOQUET Héloïse	fiction	1,218,097									
147905	Paula	TERRAIL Angela	fiction	1,091,625									
149620	Petit Nicolas, qu'est-ce qu'on attend pour être heureux ? (Le)	FREDON Amandine / MASSOUBRE Benjamin	animation	8,865,034									
154834	Pierre et Jeanne	CELARIE Clémentine	fiction	899,209									
148161	Pires (Les) (ex : Sauvage)	AKOKA Lise / GUERET Romane	fiction	2,636,946									
152842	Pleurer des rivières 	LEGRAND Léopold	fiction	3,591,000									
155317	Polaris	VERA Ainara	docu	463,611									
151666	Rascals	LAPORAL-TReSOR Jimmy	fiction	3,509,403									
152593	Reines	BENKIRAN Yasmine	fiction	1,812,531									
149813	Repli (Le)	PARIS Joseph	docu	132,352									
149285	Rodéo	QUIVORON Lola	fiction	1,218,132									
148096	Saveurs d'exil	HATTE Anne-Solenne	docu	586,807									
155016	Segpa-le film	BOUGHERABA Hakim / BOUGHERABA Ali	fiction	2,647,423									
148054	Soleil de trop près (Le)	CARNAILLE Brieuc	fiction	1,112,051									
148439	Tigre et le président (Le)	PEYREFITTE Jean-Marc	fiction	4,358,636									
152949	Tout le monde aime Jeanne	DEVAUX Celine	fiction	3,999,337									
150392	Trois nuits par semaine	GOUELOU Florent	fiction	2,359,025									
150105	Un cœur en abîme	BUREAU Guillaume	fiction	3,108,908									
150707	Un petit miracle	BOUDRE Sophie	fiction	4,480,824									
155013	Une comédie romantique	SEGOUIN Thibault	fiction	2,054,220									
154576	Une mère	AUDCOEUR Sylvie	fiction	2,300,048									
154532	Une sœur (falcon lake)	LE BON Charlotte	fiction	2,128,541									
154544	Vache qui chantait le futur (La)	ALEGRIA Francisca	fiction	1,384,228									
151658	Visiteur du futur (Le)	DESCRAQUES François	fiction	4,606,845									
152222	Zone libre	DIAZ Lisa	fiction	1,219,318									
152906	A demain mon amour	CARRE-AGOSTINI Basile	docu	679,280									
148404	A girl's room	SUNI Aino	fiction	1,219,975									
151439	A la vie	PEPIN Aude	docu	282,890									
152335	Amours d'Anaïs (Les)	BOURGEOIS-TACQUET Charline	fiction	3,098,451									
151732	Après la traversée	AKAFOU Joël	docu	238,780									
152309	Au cimetière de la pellicule	DIALLO Thierno Souleymane	docu	433,114									
145409	Aventures de Pil (Les)	FOURNET Julien	animation	7,734,841									
146631	Azuro	ROZE Matthieu	fiction	953,375									
153439	Carmen	MILLEPIED Benjamin	fiction	11,799,738									
150398	Carottes sauvages (Les)	BAUDAIS Pierre	fiction	291,358									
151915	De bas étage	QNIA Yassine	fiction	1,216,208									
153428	Fragile	BENESTAN Emma	fiction	2,148,300									
150825	Guêpe et l'orchidée (La)	ZAMMOURI Saber	docu	245,035									
148300	Harvest	DAGHER Ely	fiction	709,546									
152748	Hôpital n°6	LI Ye	docu	201,198									
150198	Ils sont vivants	ELKAIM Jérémie	fiction	3,116,914									
152298	Irréductibles	DUBUQUOY Olivier	docu	998,769									
152587	Lil'Buck real swan	WALLECAN Louis	docu	1,005,405									
152961	Ma nuit	BOULAT Antoinette	fiction	670,316									
149932	Maison d'enfants (à caractère social)	CHIKHAOUI Nessim	fiction	3,835,798									
152277	Maoussi	SCHIOLER Charlotte	fiction	2,011,307									
151747	Méchants (Les)	ACHOUR Mouloud / BAUMARD Dominique	fiction	2,620,106									
152097	Mes frères, et moi	MANCA Yohan	fiction	3,109,155									
151473	Messe basse	DRAPEAU Baptiste	fiction	522,122									
152824	Municipale	PAULOT Thomas	fiction	366,366									
147214	Murder party	PLESKOF Nicolas	fiction	3,445,453									
126276	Ogre	MALHERBE Arnaud	fiction	2,766,380									
153600	On sourit pour la photo	UZAN François	fiction	4,973,501									
152392	Ordre(s) et désordres	DUFRESNE David	docu	315,464									
130127	P4	CARDONA Vincent	fiction	3,403,354									
153214	Permis de construire	FRATICELLI Eric	fiction	5,345,398									
153199	Portrait d'une jeune fille qui va bien	KIBERLAIN Sandrine	fiction	3,732,502									
151446	Promesse de l'invisible	AMIGUET Marie	docu	637,676									
151578	P'tite Fradette (La)	FRADET Elodie	docu	318,171									
152785	Quand on sait	CAPPELLIN Emmanuel	docu	436,218									
153163	Robuste	MEYER Constance	fiction	3,349,194									
150143	Rosa	SAADA Aurélie	fiction	2,867,135									
152075	Rosy	BARNERIAS Marine	docu	1,014,554									
#N/A	Salamandre (La)	CARVALHO DE OLIVEIRA Alexandre	fiction	1,579,799									
153805	Sam autour du monde	MAURIAT Edouard	docu	388,778									
145204	Saules aveugles, femme endormie	FOLDES Pierre	animation	6,000,000									
152717	Sentinelle sud	GERAULT Mathieu	fiction	2,095,722									
153313	Serpent (Le)	SCHWAB Pierre-Alexandre	fiction	666,345									
148669	Si on chantait	MARUCA Fabrice	fiction	6,928,292									
